circuit_type,cnot_count,sq_gate_count,backend,error_rate,is_kingston
cnot_sweep_1_v2,1,1,ibm_fez,5.96,0
cnot_sweep_1_v2,1,1,ibm_fez,5.47,0
cnot_sweep_1_v2,1,1,ibm_fez,5.27,0
cnot_sweep_1_v2,1,1,ibm_fez,6.05,0
cnot_sweep_1_v2,1,1,ibm_fez,5.47,0
cnot_sweep_1_v2,1,1,ibm_fez,5.08,0
cnot_sweep_1_v2,1,1,ibm_fez,5.08,0
cnot_sweep_1_v2,1,1,ibm_fez,5.37,0
cnot_sweep_1_v2,1,1,ibm_fez,5.57,0
cnot_sweep_1_v2,1,1,ibm_fez,4.3,0
cnot_sweep_1_v2,1,1,ibm_fez,5.76,0
cnot_sweep_1_v2,1,1,ibm_fez,4.39,0
cnot_sweep_1_v2,1,1,ibm_fez,5.96,0
cnot_sweep_1_v2,1,1,ibm_fez,5.86,0
cnot_sweep_1_v2,1,1,ibm_fez,4.49,0
cnot_sweep_2_v2,2,1,ibm_fez,7.52,0
cnot_sweep_2_v2,2,1,ibm_fez,7.23,0
cnot_sweep_2_v2,2,1,ibm_fez,6.35,0
cnot_sweep_2_v2,2,1,ibm_fez,6.25,0
cnot_sweep_2_v2,2,1,ibm_fez,6.25,0
cnot_sweep_2_v2,2,1,ibm_fez,5.86,0
cnot_sweep_2_v2,2,1,ibm_fez,6.64,0
cnot_sweep_2_v2,2,1,ibm_fez,5.86,0
cnot_sweep_2_v2,2,1,ibm_fez,7.52,0
cnot_sweep_2_v2,2,1,ibm_fez,5.76,0
cnot_sweep_2_v2,2,1,ibm_fez,6.05,0
cnot_sweep_2_v2,2,1,ibm_fez,5.27,0
cnot_sweep_2_v2,2,1,ibm_fez,6.54,0
cnot_sweep_2_v2,2,1,ibm_fez,5.76,0
cnot_sweep_2_v2,2,1,ibm_fez,7.52,0
cnot_sweep_3_v2,3,1,ibm_fez,8.79,0
cnot_sweep_3_v2,3,1,ibm_fez,9.57,0
cnot_sweep_3_v2,3,1,ibm_fez,9.57,0
cnot_sweep_3_v2,3,1,ibm_fez,7.91,0
cnot_sweep_3_v2,3,1,ibm_fez,9.47,0
cnot_sweep_3_v2,3,1,ibm_fez,10.16,0
cnot_sweep_3_v2,3,1,ibm_fez,8.5,0
cnot_sweep_3_v2,3,1,ibm_fez,8.4,0
cnot_sweep_3_v2,3,1,ibm_fez,10.35,0
cnot_sweep_3_v2,3,1,ibm_fez,10.16,0
cnot_sweep_3_v2,3,1,ibm_fez,10.84,0
cnot_sweep_3_v2,3,1,ibm_fez,7.81,0
cnot_sweep_3_v2,3,1,ibm_fez,8.11,0
cnot_sweep_3_v2,3,1,ibm_fez,9.38,0
cnot_sweep_3_v2,3,1,ibm_fez,9.18,0
